"genelist","converted_alias"
"Xkr4","ENSG00000206579"
"Rp1","ENSG00000104237"
"Sox17","ENSG00000164736"
"Mrpl15","ENSG00000137547"
"Lypla1","ENSG00000120992"
"Tcea1","ENSG00000187735"
"Rgs20","ENSG00000147509"
"Atp6v1h","ENSG00000047249"
"Oprk1","ENSG00000082556"
"Npbwr1","ENSG00000288611"
"Rb1cc1","ENSG00000023287"
"St18","ENSG00000147488"
"Pcmtd1","ENSG00000168300"
"Sntg1","ENSG00000147481"
"Rrs1","ENSG00000179041"
"Adhfe1","ENSG00000147576"
"Mybl1","ENSG00000185697"
"Vcpip1","ENSG00000175073"
"Sgk3","ENSG00000288602"
"Mcmdc2","ENSG00000178460"
"Tcf24","ENSG00000261787"
"Ppp1r42","ENSG00000178125"
"Cops5","ENSG00000121022"
"Cspp1","ENSG00000104218"
"Arfgef1","ENSG00000066777"
"Cpa6","ENSG00000165078"
"Prex2","ENSG00000046889"
"A830018L16Rik","ENSG00000165084"
"Sulf1","ENSG00000137573"
"Slco5a1","ENSG00000137571"
"Prdm14","ENSG00000147596"
"Ncoa2","ENSG00000140396"
"Tram1","ENSG00000067167"
"Lactb2","ENSG00000147592"
"Xkr9","ENSG00000221947"
"Eya1","ENSG00000104313"
"Msc","ENSG00000178860"
"Trpa1","ENSG00000104321"
"Kcnb2","ENSG00000182674"
"Terf1","ENSG00000147601"
"Sbspon","ENSG00000164764"
"Rpl7","ENSG00000147604"
"Rdh10","ENSG00000121039"
"Stau2","ENSG00000040341"
"Ube2w","ENSG00000104343"
"Tmem70","ENSG00000175606"
"Ly96","ENSG00000154589"
"Jph1","ENSG00000104369"
"Gdap1","ENSG00000104381"
"Pi15","ENSG00000137558"
"Crispld1","ENSG00000121005"
"Crisp4","ENSG00000124812"
"Defb18","ENSG00000214642"
"Tfap2d","ENSG00000008197"
"Tfap2b","ENSG00000008196"
"Pkhd1","ENSG00000170927"
"Il17a","ENSG00000112115"
"Il17f","ENSG00000112116"
"Mcm3","ENSG00000112118"
"Paqr8","ENSG00000170915"
"Efhc1","ENSG00000096093"
"Tram2","ENSG00000065308"
"Tmem14a","ENSG00000096092"
"Gsta3","ENSG00000174156"
"Khdc1a","ENSG00000256980"
"Khdc1c","ENSG00000256980"
"Khdc1b","ENSG00000256980"
"Kcnq5","ENSG00000185760"
"Rims1","ENSG00000079841"
"Ogfrl1","ENSG00000119900"
"B3gat2","ENSG00000112309"
"Smap1","ENSG00000112305"
"Fam135a","ENSG00000082269"
"Col9a1","ENSG00000112280"
"Col19a1","ENSG00000082293"
"Lmbrd1","ENSG00000168216"
"Phf3","ENSG00000118482"
"Ptp4a1","ENSG00000112245"
"Lgsn","ENSG00000146166"
"Khdrbs2","ENSG00000112232"
"Prim2","ENSG00000146143"
"Rab23","ENSG00000112210"
"Bag2","ENSG00000112208"
"Zfp451","ENSG00000112200"
"Bend6","ENSG00000151917"
"Ccdc115","ENSG00000136710"
"Imp4","ENSG00000136718"
"Ptpn18","ENSG00000072135"
"Cfc1","ENSG00000152093"
"Amer3","ENSG00000178171"
"Arhgef4","ENSG00000136002"
"Fam168b","ENSG00000152102"
"Plekhb2","ENSG00000115762"
"Hs6st1","ENSG00000136720"
"Uggt1","ENSG00000136731"
"Neurl3","ENSG00000163121"
"Arid5a","ENSG00000196843"
"Kansl3","ENSG00000114982"
"Fer1l5","ENSG00000249715"
"Lman2l","ENSG00000114988"
"Cnnm4","ENSG00000158158"
"Cnnm3","ENSG00000168763"
"Ankrd23","ENSG00000163126"
"Ankrd39","ENSG00000213337"
"Sema4c","ENSG00000168758"
"Fam178b","ENSG00000168754"
"Actr1b","ENSG00000115073"
"Zap70","ENSG00000115085"
"Tmem131","ENSG00000075568"
"Vwa3b","ENSG00000168658"
"Cnga3","ENSG00000144191"
"Inpp4a","ENSG00000040933"
"Coa5","ENSG00000183513"
"Unc50","ENSG00000115446"
"Mgat4a","ENSG00000071073"
"Tsga10","ENSG00000135951"
"Lipt1","ENSG00000144182"
"Mitd1","ENSG00000158411"
"Mrpl30","ENSG00000185414"
"Lyg2","ENSG00000185674"
"Lyg1","ENSG00000144214"
"Txndc9","ENSG00000115514"
"Eif5b","ENSG00000158417"
"Rev1","ENSG00000135945"
"Aff3","ENSG00000144218"
"Lonrf2","ENSG00000170500"
"Chst10","ENSG00000115526"
"Nms","ENSG00000204640"
"Pdcl3","ENSG00000115539"
"Npas2","ENSG00000170485"
"Rpl31","ENSG00000071082"
"Tbc1d8","ENSG00000204634"
"Cnot11","ENSG00000158435"
"Rnf149","ENSG00000163162"
"Creg2","ENSG00000175874"
"Rfx8","ENSG00000196460"
"Map4k4","ENSG00000071054"
"Il1r2","ENSG00000115590"
"Il1r1","ENSG00000115594"
"Il1rl2","ENSG00000115598"
"Il1rl1","ENSG00000115602"
"Il18r1","ENSG00000115604"
"Il18rap","ENSG00000115607"
"Slc9a4","ENSG00000180251"
"Slc9a2","ENSG00000115616"
